time,iphone_info,package,mem,cpu,systemCpu,rxBytes,txBytes,rxTcpBytes,txTcpBytes,fps,level,batterytem
2022-05-18 21:33:55.026, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.652, 9.09, 14.2, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:33:55.930, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.699, 10.18, 16.77, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:33:56.912, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.684, 9.95, 14.22, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:33:57.836, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.651, 9.52, 15.48, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:33:58.687, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.662, 14.86, 19.43, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:33:59.568, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 48.008, 9.74, 14.29, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:00.357, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.673, 8.79, 17.58, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:01.297, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.661, 9.03, 13.19, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:02.014, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.621, 9.33, 15.33, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:02.766, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.651, 8.57, 14.29, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:03.475, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.639, 9.52, 15.65, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:04.296, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 48.002, 12.58, 18.24, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:05.020, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.687, 5.85, 10.24, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:06.268, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.759, 10.37, 16.05, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:07.762, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.757, 9.45, 15.64, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:09.076, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.733, 18.84, 23.91, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:10.568, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 48.154, 11.5, 16.61, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:12.177, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.799, 9.6, 15.89, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:13.721, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.729, 14.95, 19.93, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:15.202, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 48.044, 9.36, 14.98, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
2022-05-18 21:34:16.504, Motorola AOSPonShama;shamu;1G, com.wrtech.huanyou, 47.767, 11.04, 17.35, 0.0, 0.0, 0.0, 0.0, 2, 13, 35.7
